Product Name,Product Price,Product Colors
Printed T-shirt,$12.99,"Black/Hot Wheels, Light gray melange/Hot Wheels, Cream/Kodak, Light beige/Shania Twain, Cream/Snow White, Cream/Saweetie, Black/Charlie Puth"
Long Shirt,$39.99,"White, Black, Light beige"
Long-sleeved Jersey Shirt,$14.99,"White, Black, Light beige"
Linen-blend Straight Pants,$19.99,"Beige, White, Black"
Rib-knit Cardigan,$19.99,"Cream/black striped, Black/white striped"
Oversized Boat-neck Top,$19.99,"White/blue striped, White/Oui Merci"
Hoodie,$20.99,"Beige, Black, White, Light gray melange, Light blue"
Low Denim Shorts,$34.99,Light denim blue
MAMA Before & After Jersey Pants,$24.99,Black
Textured Wrap Dress,$37.99,"Light beige, Bright red"
Crochet-look Top,$67.99,Cream
Flared Leggings,$17.99,Black
Oval Sunglasses,$12.99,"Black, Black, Olive green, Light beige, Gold-colored/black, Transparent/light beige"
Double-breasted Trenchcoat,$64.99,"Beige, Cream, Black"
Baggy Low Jeans,$39.99,"Light denim blue, Gray, Black, Light denim blue, Pale denim blue"
Oversized Cotton Top,$34.99,"White/beige striped, Cream/black striped"
Mom Ultra High Denim shorts,$24.99,"Black, Light denim blue, Light denim blue"
Ribbed Modal-blend T-shirt,$12.99,"Light beige melange, Black, White, Light khaki green, Light gray melange, Taupe, Sage green"
Wide-leg Pants,$18.99,"White, Black"
Ribbed Bodycon Dress,$21.99,"Pigeon blue, Black, Light beige"
Linen Shirt Dress,$67.99,Blue
MAMA 5-pack Hipster Briefs,$17.99,"Powder pink/light pink, Black"
Gathered Bodycon Dress,$26.99,"Light beige/striped, Dark beige, Black"
Double-weave Blouse,$28.99,"Sage green, White/blue-striped"
Flared Leggings,$14.99,"Black, Dusty green, Black, Light gray"
Baggy Wide Low Jeans,$44.99,"White, Light denim blue, Light denim blue, Beige, Dark gray, Pale denim blue"
Tapered-waist Twill Blazer,$40.99,"Light beige, Black"
Track Pants with Side Stripes,$34.99,Black
Fine-knit Top,$20.99,"White/black striped, Black, Cream"
Tie-detail Beach Dress,$34.99,"White, Black"
Fitted T-shirt,$12.99,"White, Black, Dark gray, Light taupe/tie-dye"
7-pack Cotton Jersey Bikini Briefs,$19.99,"Light blue/pigeon blue, Black"
Block-heeled Mules,$31.99,Black
Linen-blend Joggers,$32.99,"Khaki green, Black"
Canvas Cargo Pants,$26.99,"Black, Dark gray, Gray, Cream, Dark khaki green, Light beige, Light beige"
Cotton Jersey Leggings,$8.99,Black
Boat-neck Bodysuit,$15.99,"Black, White/black striped, Navy blue"
Jersey Maxi Skirt,$17.99,"Black, Taupe melange, Light gray melange"
Tie-Belt Denim Jacket,$49.99,"Denim blue, Beige"
MAMA 2-pack Bike shorts,$24.99,Black/gray
Crochet-look Pencil Skirt,$84.99,Light beige
Oversized Linen Shirt,$39.99,White
Microfiber Sleeveless Top,$12.99,"Black, Light taupe, White"
Wide Hoop Earrings,$10.99,Gold-colored/brushed
Bouclé Blazer,$54.99,Light pink
Cotton Dress,$35.99,"Black/patterned, Blue/striped, Blue/white patterned"
Shoulder-pad Cardigan,$37.99,Beige melange
Short Jacket with Shoulder Pads,$57.99,"Light beige, Black"
Printed T-shirt,$19.99,"Cream/Palermo, Cream/Milano, Light gray melange/Los Angeles, Cream/Palm Beach, White/Mykonos, Black striped/Paris, Light blue/San Diego, White/Mykonos"
Linen Wrap Top,$49.99,Black
